Trial,Tank,ColorID,SnailDensity,AggregationIndex,Length,Count
1,38,G,12,4,13.8,1
1,38,P,12,4,13.9,0
1,38,R,12,4,12.9,0
1,38,RB,12,4,14.4,1
1,38,RG,12,4,12.9,2
1,38,RP,12,4,14.6,0
1,38,RY,12,4,12.5,3
1,38,Y,12,4,12.3,0
1,38,YB,12,4,15,3
1,38,YG,12,4,14.3,0
1,38,YP,12,4,13.4,0
1,39,B,14,4,15.2,2
1,39,G,14,4,14.1,0
1,39,GB,14,4,16.1,5
1,39,GP,14,4,14.7,3
1,39,P,14,4,12.9,3
1,39,R,14,4,15.6,0
1,39,RB,14,4,12.1,1
1,39,RG,14,4,11.5,1
1,39,RP,14,4,14.9,1
1,39,RY,14,4,13.7,0
1,39,Y,14,4,13.9,2
1,39,YB,14,4,13.8,0
1,39,YG,14,4,14.4,4
1,39,YP,14,4,13.6,2
1,40,B,16,4,13.1,4
1,40,C,16,4,12.8,2
1,40,G,16,4,15.1,2
1,40,GB,16,4,10.7,1
1,40,GP,16,4,14.6,0
1,40,P,16,4,15.1,2
1,40,PB,16,4,13.2,0
1,40,R,16,4,14.2,0
1,40,RB,16,4,14.9,2
1,40,RG,16,4,13,2
1,40,RP,16,4,12.5,0
1,40,RY,16,4,13.2,1
1,40,Y,16,4,11.9,1
1,40,YB,16,4,15.6,2
1,40,YG,16,4,10.9,4
1,40,YP,16,4,15,1
1,41,R,2,5,11.7,0
1,41,Y,2,5,15.6,0
1,42,G,4,5,15.2,0
1,42,P,4,5,14.5,0
1,42,R,4,5,13.4,0
1,42,Y,4,5,12.8,0
1,43,B,6,5,13.6,3
1,43,G,6,5,11.6,2
1,43,P,6,5,13.3,1
1,43,R,6,5,15.7,3
1,43,RY,6,5,16.1,0
1,43,Y,6,5,7.4,3
1,44,B,8,5,10.6,2
1,44,G,8,5,13.8,3
1,44,P,8,5,11.8,4
1,44,R,8,5,16.1,2
1,44,RG,8,5,14.8,3
1,44,RP,8,5,13.1,0
1,44,RY,8,5,13.2,4
1,44,Y,8,5,15.4,2
1,45,B,10,5,12.7,0
1,45,G,10,5,14.7,0
1,45,P,10,5,14.6,0
1,45,R,10,5,11.3,0
1,45,RB,10,5,14.3,0
1,45,RG,10,5,14.9,1
1,45,RP,10,5,13.3,0
1,45,RY,10,5,14.4,0
1,45,Y,10,5,15.7,0
1,45,YG,10,5,17.2,1
1,46,B,12,5,9.7,0
1,46,G,12,5,15,0
1,46,P,12,5,14.2,0
1,46,R,12,5,13.2,0
1,46,RB,12,5,15.6,0
1,46,RG,12,5,15.5,0
1,46,RP,12,5,12.3,0
1,46,RY,12,5,14.6,0
1,46,Y,12,5,15.1,0
1,46,YB,12,5,14,0
1,46,YG,12,5,13.8,0
1,46,YP,12,5,14.2,0
1,47,B,13,5,13.6,1
1,47,G,13,5,13,13
1,47,GP,13,5,13.3,7
1,47,P,13,5,10,3
1,47,R,13,5,15.6,0
1,47,RB,13,5,15.2,13
1,47,RG,13,5,12.1,0
1,47,RP,13,5,14.4,1
1,47,RY,13,5,14.2,0
1,47,Y,13,5,14.8,10
1,47,YB,13,5,13.2,0
1,47,YG,13,5,13.4,3
1,47,YP,13,5,16.8,3
1,48,B,15,5,13.8,7
1,48,C,15,5,11.6,0
1,48,G,15,5,15.7,11
1,48,GB,15,5,11.9,5
1,48,GP,15,5,11.9,3
1,48,P,15,5,12.1,0
1,48,PB,15,5,15,7
1,48,R,15,5,14,2
1,48,RB,15,5,12.3,6
1,48,RP,15,5,13.1,3
1,48,RY,15,5,15.4,2
1,48,Y,15,5,15.4,6
1,48,YB,15,5,13.4,5
1,48,YG,15,5,13.6,1
1,48,YP,15,5,13.6,2
1,49,R,2,6,14.9,0
1,49,Y,2,6,13.6,0
1,50,G,4,6,11,2
1,50,P,4,6,13.6,0
1,50,R,4,6,13.1,1
1,50,Y,4,6,14.9,3
1,51,B,6,6,12.2,3
1,51,C,6,6,11.2,1
1,51,G,6,6,14.1,0
1,51,P,6,6,12.1,1
1,51,R,6,6,13.9,4
1,51,Y,6,6,13.2,3
1,52,B,8,6,10,2
1,52,G,8,6,11.8,0
1,52,P,8,6,12.7,0
1,52,R,8,6,12.2,1
1,52,RG,8,6,13.7,0
1,52,RP,8,6,16.5,1
1,52,RY,8,6,13,1
1,52,Y,8,6,12.1,1
1,53,B,10,6,14.9,3
1,53,G,10,6,16.1,0
1,53,P,10,6,11.2,2
1,53,R,10,6,16.1,7
1,53,RB,10,6,13.3,9
1,53,RG,10,6,13.7,6
1,53,RP,10,6,11.2,0
1,53,RY,10,6,13.1,8
1,53,Y,10,6,12.3,3
1,53,YG,10,6,12.3,4
1,54,B,12,6,14.7,6
1,54,G,12,6,13.6,9
1,54,P,12,6,11.9,5
1,54,R,12,6,14.5,4
1,54,RB,12,6,18.2,3
1,54,RG,12,6,15.3,1
1,54,RP,12,6,13.7,1
1,54,RY,12,6,15.9,13
1,54,Y,12,6,11.4,6
1,54,YB,12,6,12.8,5
1,54,YG,12,6,14.8,3
1,54,YP,12,6,9.8,0
1,55,B,13,6,15.7,3
1,55,GB,13,6,16.2,0
1,55,GP,13,6,14.1,1
1,55,P,13,6,11.9,1
1,55,R,13,6,11.8,2
1,55,RB,13,6,13.2,3
1,55,RG,13,6,10.8,0
1,55,RP,13,6,13.6,2
1,55,RY,13,6,12.8,4
1,55,Y,13,6,15.7,0
1,55,YB,13,6,14.8,1
1,55,YG,13,6,13,3
1,55,YP,13,6,14.5,2
1,56,B,16,6,11.2,0
1,56,C,16,6,12.9,1
1,56,G,16,6,17,0
1,56,GB,16,6,13.9,1
1,56,GP,16,6,14,5
1,56,P,16,6,12.4,1
1,56,PB,16,6,14.9,2
1,56,R,16,6,18.2,2
1,56,RB,16,6,13.1,0
1,56,RG,16,6,14.7,1
1,56,RP,16,6,15,0
1,56,RY,16,6,12.3,2
1,56,Y,16,6,12.2,0
1,56,YB,16,6,14.1,3
1,56,YG,16,6,12.3,0
1,56,YP,16,6,12.4,2
2,1,B,2,0,12.9,0
2,1,R,2,0,15.3,0
2,2,B,4,0,14.7,0
2,2,G,4,0,16,0
2,2,P,4,0,14.4,0
2,2,R,4,0,14.2,0
2,3,B,6,0,13.7,0
2,3,G,6,0,11.9,0
2,3,P,6,0,16.3,0
2,3,R,6,0,12.7,0
2,3,RB,6,0,16.1,0
2,3,Y,6,0,16.6,0
2,4,B,7,0,12.2,0
2,4,G,7,0,14.8,13
2,4,P,7,0,13.8,0
2,4,R,7,0,15.3,0
2,4,RB,7,0,17.7,0
2,4,RP,7,0,13.3,13
2,4,Y,7,0,12.4,0
2,5,B,10,0,15.2,0
2,5,G,10,0,15.7,0
2,5,P,10,0,14.4,0
2,5,PB,10,0,15.5,0
2,5,R,10,0,13.4,0
2,5,RB,10,0,15.3,0
2,5,RG,10,0,15.4,0
2,5,RP,10,0,14.7,0
2,5,RY,10,0,13.1,0
2,5,Y,10,0,14.8,0
2,6,B,12,0,13,0
2,6,G,12,0,17.6,0
2,6,GB,12,0,17.7,0
2,6,P,12,0,14.5,0
2,6,PB,12,0,13.4,0
2,6,R,12,0,12.3,1
2,6,RB,12,0,17.5,0
2,6,RG,12,0,13.5,0
2,6,RP,12,0,18.1,0
2,6,RY,12,0,12.5,1
2,6,Y,12,0,17.3,0
2,6,YB,12,0,15.2,0
2,7,B,14,0,12.2,0
2,7,G,14,0,13.5,0
2,7,GB,14,0,12.2,0
2,7,GP,14,0,14.3,0
2,7,P,14,0,9.4,0
2,7,PB,14,0,15.7,0
2,7,R,14,0,14.8,0
2,7,RB,14,0,13,0
2,7,RG,14,0,12.4,0
2,7,RP,14,0,13,0
2,7,RY,14,0,16.1,0
2,7,Y,14,0,15,0
2,7,YB,14,0,11.2,0
2,7,YP,14,0,13.3,0
2,8,B,15,0,13.1,0
2,8,C,15,0,16.3,0
2,8,G,15,0,13.5,0
2,8,GB,15,0,11.2,0
2,8,GP,15,0,17,0
2,8,P,15,0,14,0
2,8,PB,15,0,11.8,0
2,8,R,15,0,16,0
2,8,RB,15,0,16.4,4
2,8,RG,15,0,13.6,0
2,8,RP,15,0,14,0
2,8,RY,15,0,14.8,4
2,8,Y,15,0,18.2,0
2,8,YB,15,0,14.9,0
2,8,YG,15,0,11.1,0
2,9,R,2,1,17.2,0
2,9,Y,2,1,13.2,0
2,10,B,4,1,12.3,0
2,10,G,4,1,15.4,0
2,10,P,4,1,12.6,0
2,10,R,4,1,12.1,0
2,11,B,6,1,13.4,0
2,11,G,6,1,15.8,0
2,11,P,6,1,18.9,0
2,11,R,6,1,13.6,0
2,11,RB,6,1,17.4,0
2,11,Y,6,1,15.7,0
2,12,B,8,1,11,0
2,12,G,8,1,14.7,0
2,12,P,8,1,14.1,0
2,12,R,8,1,16,0
2,12,RB,8,1,15.4,2
2,12,RG,8,1,14.2,0
2,12,RP,8,1,15.8,2
2,12,Y,8,1,13.2,0
2,13,B,10,1,15.5,0
2,13,G,10,1,17.4,0
2,13,P,10,1,16.2,2
2,13,PB,10,1,18.7,1
2,13,R,10,1,15.8,0
2,13,RB,10,1,13.5,0
2,13,RG,10,1,15.3,1
2,13,RP,10,1,15.7,2
2,13,RY,10,1,15.4,1
2,13,Y,10,1,15,1
2,14,C,11,1,9.7,0
2,14,G,11,1,14.4,0
2,14,GB,11,1,16.1,0
2,14,P,11,1,14.2,0
2,14,PB,11,1,14.5,0
2,14,R,11,1,13.2,0
2,14,RB,11,1,16.8,0
2,14,RG,11,1,18,0
2,14,RP,11,1,16.1,0
2,14,RY,11,1,15,0
2,14,Y,11,1,12.9,0
